iter	Passed	Remaining
665	3496	1753
666	3501	1748
667	3507	1743
668	3512	1737
669	3517	1732
670	3523	1727
671	3528	1722
672	3533	1717
673	3539	1711
674	3544	1706
675	3549	1701
676	3554	1695
677	3559	1690
678	3564	1685
679	3569	1679
680	3575	1674
681	3579	1669
682	3584	1663
683	3590	1658
684	3595	1653
685	3600	1648
686	3605	1642
687	3610	1637
688	3615	1632
689	3620	1626
690	3625	1621
691	3631	1616
692	3636	1610
693	3641	1605
694	3646	1600
695	3652	1595
696	3657	1589
697	3662	1584
698	3667	1579
699	3672	1574
700	3678	1568
701	3683	1563
702	3688	1558
703	3693	1553
704	3699	1547
705	3704	1542
706	3709	1537
707	3714	1532
708	3719	1526
709	3724	1521
710	3729	1516
711	3735	1510
712	3740	1505
713	3745	1500
714	3750	1495
715	3755	1489
716	3761	1484
717	3766	1479
718	3772	1474
719	3777	1469
720	3782	1463
721	3788	1458
722	3793	1453
723	3799	1448
724	3804	1443
725	3809	1437
726	3815	1432
727	3820	1427
728	3825	1422
729	3830	1416
730	3835	1411
731	3841	1406
732	3846	1401
733	3851	1395
734	3856	1390
735	3862	1385
736	3868	1380
737	3873	1375
738	3878	1369
739	3883	1364
740	3889	1359
741	3894	1353
742	3900	1349
743	3905	1343
744	3910	1338
745	3915	1333
746	3921	1328
747	3926	1322
748	3931	1317
749	3936	1312
750	3941	1306
751	3946	1301
752	3951	1296
753	3956	1290
754	3961	1285
755	3966	1280
756	3972	1275
757	3977	1269
758	3982	1264
759	3987	1259
760	3992	1253
761	3997	1248
762	4003	1243
763	4008	1238
764	4013	1232
765	4018	1227
766	4023	1222
767	4029	1217
768	4034	1211
769	4039	1206
770	4044	1201
771	4049	1196
772	4054	1190
773	4060	1185
774	4065	1180
775	4070	1174
776	4075	1169
777	4080	1164
778	4085	1159
779	4091	1153
780	4096	1148
781	4101	1143
782	4106	1138
783	4111	1132
784	4116	1127
785	4122	1122
786	4127	1116
787	4132	1111
788	4137	1106
789	4142	1101
790	4147	1095
791	4152	1090
792	4158	1085
793	4163	1080
794	4168	1074
795	4174	1069
796	4179	1064
797	4184	1059
798	4189	1053
799	4194	1048
800	4200	1043
801	4205	1038
802	4210	1032
803	4216	1027
804	4221	1022
805	4226	1017
806	4231	1012
807	4236	1006
808	4241	1001
809	4247	996
810	4252	991
811	4257	985
812	4262	980
813	4267	975
814	4272	969
815	4277	964
816	4282	959
817	4287	953
818	4292	948
819	4297	943
820	4302	938
821	4307	932
822	4312	927
823	4318	922
824	4323	917
825	4328	911
826	4333	906
827	4338	901
828	4343	895
829	4348	890
830	4353	885
831	4358	880
832	4363	874
833	4368	869
834	4373	864
835	4378	858
836	4383	853
837	4388	848
838	4393	843
839	4398	837
840	4403	832
841	4408	827
842	4413	822
843	4419	816
844	4423	811
845	4428	806
846	4434	800
847	4439	795
848	4444	790
849	4449	785
850	4455	780
851	4460	774
852	4465	769
853	4470	764
854	4476	759
855	4481	753
856	4486	748
857	4491	743
858	4496	738
859	4501	732
860	4506	727
861	4511	722
862	4516	717
863	4521	711
864	4527	706
865	4532	701
866	4536	695
867	4541	690
868	4546	685
869	4551	680
870	4556	674
871	4561	669
872	4566	664
873	4572	659
874	4577	653
875	4582	648
876	4587	643
877	4592	638
878	4597	632
879	4602	627
880	4608	622
881	4613	617
882	4618	611
883	4623	606
884	4628	601
885	4633	596
886	4638	590
887	4643	585
888	4648	580
889	4653	575
890	4659	569
891	4664	564
892	4669	559
893	4674	554
894	4679	549
895	4684	543
896	4689	538
897	4694	533
898	4700	528
899	4705	522
900	4710	517
901	4715	512
902	4721	507
903	4726	501
904	4731	496
905	4736	491
906	4741	486
907	4747	480
908	4752	475
909	4757	470
910	4762	465
911	4769	460
912	4775	455
913	4780	449
914	4785	444
915	4790	439
916	4795	434
917	4801	428
918	4806	423
919	4811	418
920	4816	413
921	4821	407
922	4827	402
923	4833	397
924	4838	392
925	4843	387
926	4849	381
927	4855	376
928	4860	371
929	4865	366
930	4871	361
931	4876	355
932	4881	350
933	4886	345
934	4891	340
935	4896	334
936	4901	329
937	4906	324
938	4912	319
939	4917	313
940	4922	308
941	4927	303
942	4932	298
943	4937	292
944	4942	287
945	4947	282
946	4952	277
947	4957	271
948	4962	266
949	4968	261
950	4973	256
951	4978	251
952	4983	245
953	4988	240
954	4996	235
955	5001	230
956	5006	224
957	5011	219
958	5016	214
959	5021	209
960	5027	204
961	5032	198
962	5037	193
963	5042	188
964	5047	183
965	5052	177
966	5057	172
967	5063	167
968	5068	162
969	5073	156
970	5079	151
971	5084	146
972	5090	141
973	5095	136
974	5100	130
975	5105	125
976	5111	120
977	5116	115
978	5121	109
979	5127	104
980	5132	99
981	5137	94
982	5143	88
983	5148	83
984	5153	78
985	5158	73
986	5163	68
987	5168	62
988	5173	57
989	5179	52
990	5184	47
991	5190	41
992	5196	36
993	5202	31
994	5207	26
995	5212	20
996	5217	15
997	5222	10
998	5227	5
999	5232	0
